#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
PPID,VDAC1,9606.ENSP00000303754,9606.ENSP00000378487,0,0,0,0,0.122,0.051,0.9,0.931,0.993
NFKB1,TLR4,9606.ENSP00000226574,9606.ENSP00000363089,0,0,0,0,0.116,0.093,0.9,0.932,0.993
HIF1A,MYC,9606.ENSP00000437955,9606.ENSP00000478887,0,0,0,0,0.091,0.435,0.4,0.982,0.993
DUSP10,MAPK8,9606.ENSP00000355866,9606.ENSP00000378974,0,0,0,0,0.082,0.705,0.9,0.792,0.993
CREBBP,FOXO1,9606.ENSP00000262367,9606.ENSP00000368880,0,0,0,0,0.081,0.81,0.9,0.676,0.993
HSPA4,TIMM44,9606.ENSP00000302961,9606.ENSP00000270538,0,0,0,0,0.081,0.253,0,0.99,0.993
BIRC2,TRAF6,9606.ENSP00000477613,9606.ENSP00000433623,0,0,0,0,0.074,0.522,0.54,0.973,0.993
APP,SNCA,9606.ENSP00000284981,9606.ENSP00000500990,0,0,0,0,0.066,0.78,0.4,0.953,0.993
CREBBP,ESR1,9606.ENSP00000262367,9606.ENSP00000405330,0,0,0,0,0.062,0.844,0.5,0.921,0.993
AKT1,BAD,9606.ENSP00000451828,9606.ENSP00000378040,0,0,0,0,0.06,0.86,0.9,0.572,0.993
MYC,SMAD3,9606.ENSP00000478887,9606.ENSP00000332973,0,0,0,0,0.058,0.292,0.5,0.983,0.993
APAF1,HSP90AA1,9606.ENSP00000448165,9606.ENSP00000335153,0,0,0,0,0.055,0.299,0,0.99,0.993
MAPK8IP1,MAPK9,9606.ENSP00000241014,9606.ENSP00000394560,0,0,0,0,0.055,0.755,0.9,0.76,0.993
ESR1,HSP90AB1,9606.ENSP00000405330,9606.ENSP00000360609,0,0,0,0,0.054,0.319,0.5,0.983,0.993
APAF1,BCL2,9606.ENSP00000448165,9606.ENSP00000381185,0,0,0,0,0.049,0.294,0,0.991,0.993
NR3C1,STIP1,9606.ENSP00000231509,9606.ENSP00000351646,0,0,0,0,0.045,0.973,0.5,0.586,0.993
GAPDH,HTT,9606.ENSP00000380070,9606.ENSP00000347184,0,0,0,0,0.044,0.513,0,0.987,0.993
AKT1,BCL2,9606.ENSP00000451828,9606.ENSP00000381185,0,0,0,0,0,0,0.9,0.934,0.993
AKT1,BRCA1,9606.ENSP00000451828,9606.ENSP00000418960,0,0,0,0,0,0.735,0.9,0.786,0.993
APP,KAT5,9606.ENSP00000284981,9606.ENSP00000340330,0,0,0,0,0,0.783,0,0.973,0.993
HDAC1,SIRT1,9606.ENSP00000362649,9606.ENSP00000212015,0,0,0,0,0,0.528,0,0.987,0.993
HSPB8,STUB1,9606.ENSP00000281938,9606.ENSP00000219548,0,0,0,0,0,0,0.54,0.986,0.993
NCOR1,PGR,9606.ENSP00000268712,9606.ENSP00000325120,0,0,0,0,0,0.932,0.5,0.831,0.993
HRAS,KRAS,9606.ENSP00000407586,9606.ENSP00000256078,0,0,0.05,0.981,0,0.883,0.9,0.411,0.992
DNAJA1,HSPA4,9606.ENSP00000369127,9606.ENSP00000302961,0.041,0,0.227,0,0.327,0.292,0.162,0.978,0.992
FKBP5,HSPA4,9606.ENSP00000444810,9606.ENSP00000302961,0,0,0,0,0.211,0.138,0,0.989,0.992
CREBBP,SP1,9606.ENSP00000262367,9606.ENSP00000329357,0,0,0,0,0.172,0.749,0.8,0.845,0.992
NFKB1,TLR2,9606.ENSP00000226574,9606.ENSP00000260010,0,0,0,0,0.167,0.093,0.9,0.91,0.992
BCAS2,HSPA8,9606.ENSP00000358554,9606.ENSP00000437125,0,0,0,0,0.165,0.292,0.8,0.942,0.992
AP2B1,CLTCL1,9606.ENSP00000483185,9606.ENSP00000441158,0,0,0,0,0.1,0.632,0.9,0.788,0.992
ATF2,CREBBP,9606.ENSP00000264110,9606.ENSP00000262367,0,0,0,0,0.094,0.82,0.8,0.795,0.992
DUSP1,MAPK8,9606.ENSP00000239223,9606.ENSP00000378974,0,0,0,0,0.087,0.42,0.9,0.873,0.992
CD63,LAMP2,9606.ENSP00000447730,9606.ENSP00000408411,0,0,0,0,0.082,0.091,0.4,0.986,0.992
RHOA,SRC,9606.ENSP00000400175,9606.ENSP00000362680,0,0,0,0,0.081,0.11,0.9,0.913,0.992
HSPA4,HSPB1,9606.ENSP00000302961,9606.ENSP00000248553,0,0,0,0,0.07,0.314,0,0.988,0.992
HSF1,HSP90AB1,9606.ENSP00000431512,9606.ENSP00000360609,0,0,0,0,0.067,0.438,0.72,0.957,0.992
AGO2,NPM1,9606.ENSP00000220592,9606.ENSP00000296930,0,0,0,0,0.066,0.292,0,0.989,0.992
AGO2,HSP90AB1,9606.ENSP00000220592,9606.ENSP00000360609,0,0,0,0,0.062,0.329,0,0.989,0.992
AP2A1,CLTB,9606.ENSP00000351926,9606.ENSP00000309415,0,0,0,0,0.06,0.637,0.9,0.793,0.992
KAT2B,KAT5,9606.ENSP00000263754,9606.ENSP00000340330,0,0,0,0,0.056,0.308,0.4,0.982,0.992
CDKN2A,KRAS,9606.ENSP00000418915,9606.ENSP00000256078,0,0,0,0,0.055,0.102,0.9,0.917,0.992
FOS,MAPK1,9606.ENSP00000306245,9606.ENSP00000215832,0,0,0,0,0.055,0.45,0.9,0.864,0.992
JUN,MAPK8IP1,9606.ENSP00000360266,9606.ENSP00000241014,0,0,0,0,0.055,0.292,0,0.989,0.992
CHEK1,TP53BP1,9606.ENSP00000391090,9606.ENSP00000371475,0,0,0,0,0.054,0.935,0,0.892,0.992
HSPA4,NR3C1,9606.ENSP00000302961,9606.ENSP00000231509,0,0,0,0,0.043,0.659,0,0.979,0.992
ESR1,TP53,9606.ENSP00000405330,9606.ENSP00000269305,0,0,0,0,0,0.735,0,0.974,0.992
HSPA4,TLR2,9606.ENSP00000302961,9606.ENSP00000260010,0,0,0,0,0,0.102,0,0.992,0.992
JUN,MAPK14,9606.ENSP00000360266,9606.ENSP00000229795,0,0,0,0,0,0.328,0.9,0.891,0.992
GAPDHS,PGK1,9606.ENSP00000222286,9606.ENSP00000362413,0.091,0.01,0,0,0.679,0.104,0.942,0.545,0.991
HSP90AB1,HSPA1B,9606.ENSP00000360609,9606.ENSP00000364801,0,0.002,0,0,0.383,0.516,0.5,0.946,0.991
EP300,FOXO3,9606.ENSP00000263253,9606.ENSP00000339527,0,0,0,0,0.143,0.666,0.7,0.909,0.991
HDAC1,SP1,9606.ENSP00000362649,9606.ENSP00000329357,0,0,0,0,0.106,0.962,0,0.779,0.991
CDC42,SRC,9606.ENSP00000497733,9606.ENSP00000362680,0,0,0,0,0.103,0.11,0.9,0.909,0.991
AKT1,BCL2L1,9606.ENSP00000451828,9606.ENSP00000365230,0,0,0,0,0.095,0.292,0.9,0.888,0.991
HDAC1,MYC,9606.ENSP00000362649,9606.ENSP00000478887,0,0,0,0,0.076,0.821,0,0.953,0.991
CD40,RELA,9606.ENSP00000361359,9606.ENSP00000384273,0,0,0,0,0.071,0,0,0.991,0.991
CDC5L,HSPA8,9606.ENSP00000360532,9606.ENSP00000437125,0,0,0,0,0.067,0.786,0.9,0.643,0.991
BAG5,HSPA1B,9606.ENSP00000338814,9606.ENSP00000364801,0,0,0,0,0.059,0.982,0.4,0.218,0.991
CD40,HSPA4,9606.ENSP00000361359,9606.ENSP00000302961,0,0,0,0,0.055,0.292,0,0.988,0.991
AKT1,HSPB1,9606.ENSP00000451828,9606.ENSP00000248553,0,0,0,0,0.05,0.782,0,0.963,0.991
AKT1,JUN,9606.ENSP00000451828,9606.ENSP00000360266,0,0,0,0,0.049,0.085,0.9,0.915,0.991
BAG1,DNAJB1,9606.ENSP00000489189,9606.ENSP00000254322,0,0,0,0,0,0.366,0,0.987,0.991
HSPA4,LRP1,9606.ENSP00000302961,9606.ENSP00000243077,0,0,0,0,0,0,0,0.991,0.991
HTT,REST,9606.ENSP00000347184,9606.ENSP00000311816,0,0,0,0,0,0.095,0.9,0.911,0.991
AKT1,MAPK14,9606.ENSP00000451828,9606.ENSP00000229795,0,0,0.119,0.621,0.246,0.739,0.9,0.535,0.99
ATF2,FOS,9606.ENSP00000264110,9606.ENSP00000306245,0,0,0,0.572,0,0.881,0.5,0.853,0.99
SDHA,UQCRC2,9606.ENSP00000264932,9606.ENSP00000268379,0,0,0,0,0.865,0.134,0.19,0.913,0.99
DNAJB1,HSPH1,9606.ENSP00000254322,9606.ENSP00000487365,0.041,0,0.282,0,0.406,0.832,0.162,0.86,0.99
HSP90B1,HSPA4,9606.ENSP00000299767,9606.ENSP00000302961,0,0,0,0,0.351,0.272,0,0.981,0.99
KRAS,SRC,9606.ENSP00000256078,9606.ENSP00000362680,0,0,0,0,0.082,0.297,0.9,0.866,0.99
FOXO1,SMAD3,9606.ENSP00000368880,9606.ENSP00000332973,0,0,0,0,0.074,0.317,0.9,0.872,0.99
BCL2,TP53BP2,9606.ENSP00000381185,9606.ENSP00000341957,0,0,0,0,0.067,0.622,0,0.975,0.99
GAPDH,PLG,9606.ENSP00000380070,9606.ENSP00000308938,0,0,0,0,0.067,0.045,0,0.99,0.99
EIF4G1,HNRNPD,9606.ENSP00000416255,9606.ENSP00000313199,0,0,0,0,0.063,0.706,0.5,0.938,0.99
EP300,PPARGC1A,9606.ENSP00000263253,9606.ENSP00000264867,0,0,0,0,0.063,0.292,0.8,0.935,0.99
EIF4G1,HSPB1,9606.ENSP00000416255,9606.ENSP00000248553,0,0,0,0,0.062,0.236,0.8,0.941,0.99
CDKN2A,HRAS,9606.ENSP00000418915,9606.ENSP00000407586,0,0,0,0,0.055,0.16,0.9,0.893,0.99
HSP90AA1,PGR,9606.ENSP00000335153,9606.ENSP00000325120,0,0,0,0,0.054,0.582,0.5,0.956,0.99
HSP90AB1,LRP1,9606.ENSP00000360609,9606.ENSP00000243077,0,0,0,0,0,0,0,0.99,0.99
KAT2B,MYC,9606.ENSP00000263754,9606.ENSP00000478887,0,0,0,0,0,0.351,0.5,0.972,0.99
PGAM1,TPI1,9606.ENSP00000359991,9606.ENSP00000229270,0.102,0,0,0,0.817,0.201,0.51,0.859,0.989
EEF1A1,RPL13A,9606.ENSP00000339063,9606.ENSP00000375730,0,0,0,0,0.803,0.8,0.5,0.518,0.989
DNAJA1,HSP90AA1,9606.ENSP00000369127,9606.ENSP00000335153,0.042,0,0,0,0.615,0.295,0.5,0.934,0.989
DNAJB1,HSPA1A,9606.ENSP00000254322,9606.ENSP00000364802,0.041,0,0.423,0,0.41,0.256,0.563,0.918,0.989
ALDOC,TPI1,9606.ENSP00000378731,9606.ENSP00000229270,0.045,0,0,0,0.256,0,0.956,0.692,0.989
AP2A2,HTT,9606.ENSP00000327694,9606.ENSP00000347184,0,0,0,0,0.137,0.478,0.9,0.793,0.989
AP2A1,CLTC,9606.ENSP00000351926,9606.ENSP00000479606,0,0,0,0,0.111,0.336,0.9,0.846,0.989
NFKB1,TP53,9606.ENSP00000226574,9606.ENSP00000269305,0,0,0,0,0.098,0.045,0,0.989,0.989
HIF1A,RELA,9606.ENSP00000437955,9606.ENSP00000384273,0,0,0,0,0.079,0.292,0,0.985,0.989
CYP1A2,GAPDH,9606.ENSP00000342007,9606.ENSP00000380070,0,0,0,0,0.064,0.073,0,0.988,0.989
DUSP10,MAPK14,9606.ENSP00000355866,9606.ENSP00000229795,0,0,0,0,0.06,0.818,0.65,0.849,0.989
HTT,SNCA,9606.ENSP00000347184,9606.ENSP00000500990,0,0,0,0,0.057,0.422,0,0.982,0.989
HTT,PRPF40A,9606.ENSP00000347184,9606.ENSP00000386458,0,0,0,0,0.05,0.647,0,0.971,0.989
BECN1,PRKN,9606.ENSP00000355231,9606.ENSP00000355865,0,0,0,0,0,0.654,0,0.971,0.989
JUN,SMAD4,9606.ENSP00000360266,9606.ENSP00000341551,0,0,0,0,0,0.166,0,0.987,0.989
MDM2,SFN,9606.ENSP00000258149,9606.ENSP00000340989,0,0,0,0,0,0.948,0,0.799,0.989
MAP2K3,MAP3K5,9606.ENSP00000345083,9606.ENSP00000351908,0,0,0,0.638,0.081,0.733,0.9,0.602,0.988
AKT1,MAPK1,9606.ENSP00000451828,9606.ENSP00000215832,0,0,0,0.593,0.118,0.11,0.9,0.872,0.988
ALDOA,ENO1,9606.ENSP00000496166,9606.ENSP00000495530,0,0,0,0,0.452,0.215,0.82,0.869,0.988
HSPA8,HSPB1,9606.ENSP00000437125,9606.ENSP00000248553,0,0,0,0,0.159,0.23,0.8,0.923,0.988
HSPA4,TOMM70,9606.ENSP00000302961,9606.ENSP00000284320,0,0,0,0,0.149,0.16,0,0.984,0.988
HSPA4,SGTA,9606.ENSP00000302961,9606.ENSP00000221566,0,0,0,0,0.119,0.677,0,0.962,0.988
MAP3K7,TRAF2,9606.ENSP00000358335,9606.ENSP00000247668,0,0,0,0,0.106,0.813,0.9,0.398,0.988
MAPK8,RHOA,9606.ENSP00000378974,9606.ENSP00000400175,0,0,0,0,0.092,0.769,0.9,0.53,0.988
KRAS,MAPK1,9606.ENSP00000256078,9606.ENSP00000215832,0,0,0,0,0.088,0.495,0.9,0.771,0.988
HIF1A,MDM2,9606.ENSP00000437955,9606.ENSP00000258149,0,0,0,0,0.06,0.839,0,0.929,0.988
APAF1,HSP90AB1,9606.ENSP00000448165,9606.ENSP00000360609,0,0,0,0,0.055,0.051,0,0.988,0.988
HSPA4,HSPB2,9606.ENSP00000302961,9606.ENSP00000302476,0,0,0,0,0.049,0.071,0,0.988,0.988
HSPA4,HSPB3,9606.ENSP00000302961,9606.ENSP00000303394,0,0,0,0,0.049,0.071,0,0.987,0.988
BIRC3,TRAF6,9606.ENSP00000263464,9606.ENSP00000433623,0,0,0,0,0.047,0.717,0.4,0.937,0.988
BCL2,HSPB3,9606.ENSP00000381185,9606.ENSP00000303394,0,0,0,0,0.046,0,0,0.988,0.988
HSP90AA1,RIPK1,9606.ENSP00000335153,9606.ENSP00000259808,0,0,0,0,0.042,0.525,0.9,0.778,0.988
AKT1,PTEN,9606.ENSP00000451828,9606.ENSP00000361021,0,0,0,0,0,0.648,0,0.967,0.988
EGFR,ESR1,9606.ENSP00000275493,9606.ENSP00000405330,0,0,0,0,0,0.583,0,0.974,0.988
HSP90AB1,TLR4,9606.ENSP00000360609,9606.ENSP00000363089,0,0,0,0,0,0.063,0,0.987,0.988
HSP90B1,TLR4,9606.ENSP00000299767,9606.ENSP00000363089,0,0,0,0,0,0.063,0,0.988,0.988
MAP2K4,MAPK14,9606.ENSP00000410402,9606.ENSP00000229795,0,0,0.129,0.605,0.155,0.51,0.9,0.704,0.987
MAP2K7,MAP3K7,9606.ENSP00000381070,9606.ENSP00000358335,0,0,0,0.576,0.059,0.727,0.9,0.58,0.987
ALDOA,GPI,9606.ENSP00000496166,9606.ENSP00000405573,0,0,0,0,0.541,0.094,0.851,0.822,0.987
DNAJB6,HSPA8,9606.ENSP00000262177,9606.ENSP00000437125,0.041,0,0.382,0,0.294,0.663,0.475,0.867,0.987
HSPH1,SGTA,9606.ENSP00000487365,9606.ENSP00000221566,0,0,0,0,0.095,0.18,0,0.984,0.987
HSPA8,SNCA,9606.ENSP00000437125,9606.ENSP00000500990,0,0,0,0,0.068,0.67,0,0.962,0.987
MAPK8,NFKB1,9606.ENSP00000378974,9606.ENSP00000226574,0,0,0,0,0.067,0.072,0.9,0.869,0.987
HSPA8,TP53,9606.ENSP00000437125,9606.ENSP00000269305,0,0,0,0,0.055,0.834,0,0.928,0.987
NR3C1,PPARGC1A,9606.ENSP00000231509,9606.ENSP00000264867,0,0,0,0,0.055,0.828,0.5,0.861,0.987
HSPA4,SP100,9606.ENSP00000302961,9606.ENSP00000343023,0,0,0,0,0.044,0.047,0,0.987,0.987
FOXO3,PPARGC1A,9606.ENSP00000339527,9606.ENSP00000264867,0,0,0,0,0.042,0.067,0.4,0.978,0.987
ESR1,MAPK1,9606.ENSP00000405330,9606.ENSP00000215832,0,0,0,0,0,0.625,0.9,0.681,0.987
HSP90AA1,TLR4,9606.ENSP00000335153,9606.ENSP00000363089,0,0,0,0,0,0.063,0,0.986,0.987
JUND,MAPK9,9606.ENSP00000252818,9606.ENSP00000394560,0,0,0,0,0,0.568,0.9,0.724,0.987
PRKN,SQSTM1,9606.ENSP00000355865,9606.ENSP00000374455,0,0,0,0,0,0.775,0.5,0.9,0.987
GPI,PKM,9606.ENSP00000405573,9606.ENSP00000320171,0.111,0,0,0,0.758,0,0.823,0.685,0.986
GAPDH,HSPA8,9606.ENSP00000380070,9606.ENSP00000437125,0.045,0,0,0,0.643,0.241,0,0.953,0.986
GAPDH,TALDO1,9606.ENSP00000380070,9606.ENSP00000321259,0.061,0,0,0,0.357,0,0.931,0.713,0.986
DNAJC2,HSPA4,9606.ENSP00000368565,9606.ENSP00000302961,0,0,0,0,0.202,0.274,0.4,0.965,0.986
ALDOB,TPI1,9606.ENSP00000497767,9606.ENSP00000229270,0.045,0,0,0,0.194,0,0.956,0.654,0.986
ATF2,CREB1,9606.ENSP00000264110,9606.ENSP00000387699,0,0,0,0,0.171,0.302,0.9,0.794,0.986
CTNNBL1,HSPA8,9606.ENSP00000355050,9606.ENSP00000437125,0,0,0,0,0.11,0,0.9,0.86,0.986
FOS,SRC,9606.ENSP00000306245,9606.ENSP00000362680,0,0,0,0,0.102,0.096,0.9,0.848,0.986
CDC42,MAPK8,9606.ENSP00000497733,9606.ENSP00000378974,0,0,0,0,0.101,0.64,0.9,0.636,0.986
CREB1,RELA,9606.ENSP00000387699,9606.ENSP00000384273,0,0,0,0,0.101,0,0,0.986,0.986
JUN,RELA,9606.ENSP00000360266,9606.ENSP00000384273,0,0,0,0,0.087,0.271,0,0.98,0.986
BRCA1,EP300,9606.ENSP00000418960,9606.ENSP00000263253,0,0,0,0,0.068,0.82,0,0.928,0.986
CFTR,HSPA8,9606.ENSP00000003084,9606.ENSP00000437125,0,0,0,0,0.062,0.857,0.5,0.825,0.986
KAT2B,NCOA3,9606.ENSP00000263754,9606.ENSP00000361066,0,0,0,0,0.062,0.475,0.8,0.878,0.986
BCL2L1,MAPK8,9606.ENSP00000365230,9606.ENSP00000378974,0,0,0,0,0.057,0.678,0.9,0.593,0.986
G6PD,TP53,9606.ENSP00000377192,9606.ENSP00000269305,0,0,0,0,0.049,0,0.9,0.868,0.986
HTT,HYPK,9606.ENSP00000347184,9606.ENSP00000384474,0,0,0,0,0.042,0.62,0,0.965,0.986
BAG3,BCL2,9606.ENSP00000358081,9606.ENSP00000381185,0,0,0,0,0,0.301,0,0.982,0.986
CFTR,HSP90AA1,9606.ENSP00000003084,9606.ENSP00000335153,0,0,0,0,0,0.653,0.5,0.929,0.986
FOS,MAPK8,9606.ENSP00000306245,9606.ENSP00000378974,0,0,0,0,0,0.174,0.9,0.849,0.986
IRS1,MAPK8,9606.ENSP00000304895,9606.ENSP00000378974,0,0,0,0,0,0.476,0.9,0.754,0.986
NCOA3,PGR,9606.ENSP00000361066,9606.ENSP00000325120,0,0,0,0,0,0.68,0.8,0.812,0.986
G6PD,H6PD,9606.ENSP00000377192,9606.ENSP00000473348,0.095,0,0.158,0.761,0.402,0,0.955,0.405,0.985
AKT1,MAP3K5,9606.ENSP00000451828,9606.ENSP00000351908,0,0,0,0.601,0.049,0.314,0.9,0.803,0.985
CDC5L,TCERG1,9606.ENSP00000360532,9606.ENSP00000296702,0,0,0,0,0.342,0.966,0.4,0.055,0.985
HRAS,MAPK8,9606.ENSP00000407586,9606.ENSP00000378974,0,0,0,0,0.103,0.522,0.9,0.694,0.985
HDAC1,KAT5,9606.ENSP00000362649,9606.ENSP00000340330,0,0,0,0,0.081,0.398,0.5,0.954,0.985
HSF1,HSPA4,9606.ENSP00000431512,9606.ENSP00000302961,0,0,0,0,0.08,0.745,0,0.943,0.985
DUSP16,MAPK9,9606.ENSP00000298573,9606.ENSP00000394560,0,0,0,0,0.075,0.682,0.9,0.552,0.985
FOS,MAPK14,9606.ENSP00000306245,9606.ENSP00000229795,0,0,0,0,0.067,0.256,0.9,0.814,0.985
HIF1A,MAPK1,9606.ENSP00000437955,9606.ENSP00000215832,0,0,0,0,0.049,0.626,0.9,0.648,0.985
HIP1,HTT,9606.ENSP00000336747,9606.ENSP00000347184,0,0,0,0,0.049,0.784,0.9,0.388,0.985
HSPA1L,NR3C1,9606.ENSP00000364805,9606.ENSP00000231509,0,0,0,0,0,0.967,0.5,0.203,0.985
KAT2B,TP53,9606.ENSP00000263754,9606.ENSP00000269305,0,0,0,0,0,0.903,0,0.855,0.985
PGAM1,PGK2,9606.ENSP00000359991,9606.ENSP00000305995,0,0,0,0,0.575,0.056,0.928,0.518,0.984
DNAJB1,HSPA6,9606.ENSP00000254322,9606.ENSP00000310219,0.041,0,0.427,0,0.559,0.685,0.475,0.688,0.984
HSPA8,PABPC1,9606.ENSP00000437125,9606.ENSP00000313007,0,0,0,0,0.378,0.261,0.8,0.847,0.984
DNAJA1,HSPA1B,9606.ENSP00000369127,9606.ENSP00000364801,0.041,0,0.388,0,0.355,0.716,0.563,0.729,0.984
EP300,FOXO1,9606.ENSP00000263253,9606.ENSP00000368880,0,0,0,0,0.105,0.809,0.5,0.838,0.984
MAP3K1,TRAF2,9606.ENSP00000382423,9606.ENSP00000247668,0,0,0,0,0.067,0.806,0.9,0.25,0.984
CRK,MAPK8,9606.ENSP00000300574,9606.ENSP00000378974,0,0,0,0,0.06,0.681,0.9,0.547,0.984
ESR1,SFN,9606.ENSP00000405330,9606.ENSP00000340989,0,0,0,0,0,0.904,0,0.846,0.984
FOXO1,SFN,9606.ENSP00000368880,9606.ENSP00000340989,0,0,0,0,0,0.938,0.5,0.538,0.984
MAP2K4,MAPK8IP3,9606.ENSP00000410402,9606.ENSP00000481780,0,0,0,0,0,0.516,0.9,0.713,0.984
HSPA5,HSPA8,9606.ENSP00000324173,9606.ENSP00000437125,0,0,0.057,0.966,0.308,0.756,0.5,0.823,0.983
BPGM,PGK1,9606.ENSP00000376840,9606.ENSP00000362413,0,0,0,0,0.575,0.056,0.928,0.501,0.983
ALDOA,PKM,9606.ENSP00000496166,9606.ENSP00000320171,0.069,0,0,0,0.376,0.187,0.82,0.836,0.983
BAG3,HSPA1B,9606.ENSP00000358081,9606.ENSP00000364801,0,0,0,0,0.277,0.875,0.4,0.728,0.983
DNAJC7,HSPA4,9606.ENSP00000406463,9606.ENSP00000302961,0.041,0,0,0,0.267,0.8,0.475,0.813,0.983
APP,LRP1,9606.ENSP00000284981,9606.ENSP00000243077,0,0,0,0,0.113,0.552,0,0.962,0.983
ATR,RPA1,9606.ENSP00000343741,9606.ENSP00000254719,0,0,0,0,0.049,0.925,0.5,0.594,0.983
CHEK2,MDM2,9606.ENSP00000372023,9606.ENSP00000258149,0,0,0,0,0.049,0.625,0.75,0.837,0.983
NFKB1,SIRT1,9606.ENSP00000226574,9606.ENSP00000212015,0,0,0,0,0.049,0.33,0.9,0.768,0.983
HDAC1,HIF1A,9606.ENSP00000362649,9606.ENSP00000437955,0,0,0,0,0,0.79,0,0.926,0.983
MAPK1,MYC,9606.ENSP00000215832,9606.ENSP00000478887,0,0,0,0,0,0.643,0.9,0.582,0.983
ALDOA,PGAM1,9606.ENSP00000496166,9606.ENSP00000359991,0.053,0,0,0,0.495,0.053,0.8,0.838,0.982
DNAJB4,HSPA4,9606.ENSP00000359799,9606.ENSP00000302961,0.041,0,0.274,0,0.247,0.8,0.162,0.838,0.982
HSPA4,TTC1,9606.ENSP00000302961,9606.ENSP00000231238,0,0,0,0,0.149,0.314,0,0.972,0.982
MAPK9,TP53,9606.ENSP00000394560,9606.ENSP00000269305,0,0,0,0,0.08,0.641,0.9,0.527,0.982
DUSP8,MAPK8,9606.ENSP00000380530,9606.ENSP00000378974,0,0,0,0,0.076,0.747,0.9,0.346,0.982
CREB1,HTT,9606.ENSP00000387699,9606.ENSP00000347184,0,0,0,0,0.06,0.314,0.8,0.882,0.982
HTT,PPARGC1A,9606.ENSP00000347184,9606.ENSP00000264867,0,0,0,0,0.055,0,0.9,0.824,0.982
ESR1,MYC,9606.ENSP00000405330,9606.ENSP00000478887,0,0,0,0,0.053,0.62,0.5,0.913,0.982
BECN1,TRAF6,9606.ENSP00000355231,9606.ENSP00000433623,0,0,0,0,0.049,0.82,0,0.905,0.982
BCL2L1,KRAS,9606.ENSP00000365230,9606.ENSP00000256078,0,0,0,0,0.047,0.165,0.9,0.807,0.982
HSP90AA1,TLR2,9606.ENSP00000335153,9606.ENSP00000260010,0,0,0,0,0,0.063,0,0.982,0.982
HSP90AB1,TLR2,9606.ENSP00000360609,9606.ENSP00000260010,0,0,0,0,0,0.063,0,0.982,0.982
PXDN,PXDNL,9606.ENSP00000252804,9606.ENSP00000348645,0,0,0.058,0.964,0,0,0,0.981,0.981
MAP2K7,MAP3K1,9606.ENSP00000381070,9606.ENSP00000382423,0,0,0,0.605,0.049,0.647,0.9,0.518,0.981
BPGM,PGK2,9606.ENSP00000376840,9606.ENSP00000305995,0,0,0,0,0.575,0.056,0.928,0.425,0.981
HSPA1B,STIP1,9606.ENSP00000364801,9606.ENSP00000351646,0,0,0,0,0.264,0.851,0.5,0.708,0.981
CWC15,TCERG1,9606.ENSP00000475615,9606.ENSP00000296702,0,0,0,0,0.163,0.966,0.4,0,0.981
CDKN1A,MYC,9606.ENSP00000384849,9606.ENSP00000478887,0,0,0,0,0.105,0.32,0.5,0.945,0.981
DUSP4,MAPK8,9606.ENSP00000240100,9606.ENSP00000378974,0,0,0,0,0.101,0.684,0.9,0.438,0.981
CD63,HSPA4,9606.ENSP00000447730,9606.ENSP00000302961,0,0,0,0,0.043,0,0,0.981,0.981
AKT1,HSP90B1,9606.ENSP00000451828,9606.ENSP00000299767,0,0,0,0,0.042,0.362,0.9,0.728,0.981
AKT1,ITPR1,9606.ENSP00000451828,9606.ENSP00000306253,0,0,0,0,0.042,0.44,0,0.967,0.981
HNRNPD,SYNCRIP,9606.ENSP00000313199,9606.ENSP00000358635,0,0,0,0.585,0.276,0.698,0.54,0.825,0.98
HSP90AA1,HSPA1A,9606.ENSP00000335153,9606.ENSP00000364802,0,0.001,0,0,0.349,0.314,0.5,0.924,0.98
TKT,TPI1,9606.ENSP00000391481,9606.ENSP00000229270,0.114,0,0,0,0.341,0.339,0.8,0.781,0.98
BAG3,HSPB1,9606.ENSP00000358081,9606.ENSP00000248553,0,0,0,0,0.291,0.785,0,0.882,0.98
HNRNPD,HSPA8,9606.ENSP00000313199,9606.ENSP00000437125,0,0,0,0,0.148,0.609,0.5,0.897,0.98
PLRG1,TCERG1,9606.ENSP00000424417,9606.ENSP00000296702,0,0,0,0,0.11,0.966,0.4,0,0.98
MAPK8,SMAD4,9606.ENSP00000378974,9606.ENSP00000341551,0,0,0,0,0.103,0,0.9,0.799,0.98
AP2A1,CLTCL1,9606.ENSP00000351926,9606.ENSP00000441158,0,0,0,0,0.094,0.163,0.9,0.773,0.98
CDKN1A,MDM2,9606.ENSP00000384849,9606.ENSP00000258149,0,0,0,0,0.072,0.848,0,0.873,0.98
HDAC1,SMAD3,9606.ENSP00000362649,9606.ENSP00000332973,0,0,0,0,0.071,0.481,0.5,0.928,0.98
MAPK8,MAPK8IP3,9606.ENSP00000378974,9606.ENSP00000481780,0,0,0,0,0.067,0.649,0.9,0.478,0.98
CWC15,HSPA8,9606.ENSP00000475615,9606.ENSP00000437125,0,0,0,0,0.065,0.326,0.8,0.861,0.98
APP,GAPDH,9606.ENSP00000284981,9606.ENSP00000380070,0,0,0,0,0.056,0.069,0.9,0.806,0.98
ESR1,PPARGC1A,9606.ENSP00000405330,9606.ENSP00000264867,0,0,0,0,0.055,0.674,0.5,0.891,0.98
